source,time,wave_height_m,moor_dist_m,moor_dist_km,moor_lat,moor_lon,ice_edge_dist_m,ice_edge_dist_km,dist_from_ice
S1P1,2019-11-09 20:30:00,,5928.534140689712,5.928534140689712,70.34613,-162.05704,,,
S1P1,2019-11-09 21:00:00,,5928.534140689712,5.928534140689712,70.34613,-162.05704,,,
S1P1,2019-11-09 21:30:00,,5928.534140689712,5.928534140689712,70.34613,-162.05704,,,
S1P1,2019-11-09 22:00:00,,5928.534140689712,5.928534140689712,70.34613,-162.05704,,,
S1P1,2019-11-09 22:30:00,,5928.534140689712,5.928534140689712,70.34613,-162.05704,,,
S1P1,2019-11-09 23:00:00,,5928.534140689712,5.928534140689712,70.34613,-162.05704,,,
S1P1,2019-11-09 23:30:00,,5928.534140689712,5.928534140689712,70.34613,-162.05704,,,
S1P1,2019-11-10 00:00:00,,5928.534140689712,5.928534140689712,70.34613,-162.05704,,,
S1P1,2019-11-10 00:30:00,,5928.534140689712,5.928534140689712,70.34613,-162.05704,,,
S1P1,2019-11-10 01:00:00,0.6609155145227599,5928.534140689712,5.928534140689712,70.34613,-162.05704,,,
S1P1,2019-11-10 01:30:00,0.6888684503495761,5928.534140689712,5.928534140689712,70.34613,-162.05704,,,
S1P1,2019-11-10 02:00:00,0.6988371723781786,5928.534140689712,5.928534140689712,70.34613,-162.05704,,,
S1P1,2019-11-10 02:30:00,0.6614249702822232,5928.534140689712,5.928534140689712,70.34613,-162.05704,,,
S1P1,2019-11-10 03:00:00,0.7977088481384917,5928.534140689712,5.928534140689712,70.34613,-162.05704,,,
S1P1,2019-11-10 03:30:00,0.7677307083456859,5928.534140689712,5.928534140689712,70.34613,-162.05704,,,
S1P1,2019-11-10 04:00:00,0.8036407909366704,5928.534140689712,5.928534140689712,70.34613,-162.05704,,,
S1P1,2019-11-10 04:30:00,0.8858441653806483,5928.534140689712,5.928534140689712,70.34613,-162.05704,,,
S1P1,2019-11-10 05:00:00,0.9041180764014005,5928.534140689712,5.928534140689712,70.34613,-162.05704,,,
S1P1,2019-11-10 05:30:00,0.9711196933163292,5928.534140689712,5.928534140689712,70.34613,-162.05704,,,
S1P1,2019-11-10 06:00:00,1.052807748401294,5928.534140689712,5.928534140689712,70.34613,-162.05704,,,
S1P1,2019-11-10 06:30:00,0.993294900348814,5928.534140689712,5.928534140689712,70.34613,-162.05704,,,
S1P1,2019-11-10 07:00:00,1.034874929392406,5928.534140689712,5.928534140689712,70.34613,-162.05704,,,
S1P1,2019-11-10 07:30:00,1.111235555865874,5928.534140689712,5.928534140689712,70.34613,-162.05704,,,
S1P1,2019-11-10 08:00:00,0.9592183251688663,5928.534140689712,5.928534140689712,70.34613,-162.05704,,,
S1P1,2019-11-10 08:30:00,1.099152157707826,5928.534140689712,5.928534140689712,70.34613,-162.05704,,,
S1P1,2019-11-10 09:00:00,1.1475279300978516,5928.534140689712,5.928534140689712,70.34613,-162.05704,,,
